工号姓名,部门,职务,身份证号,性别,出生日期,年龄,学历,入职时间,工龄,签约月工资,月工龄工资,基本月工资,,,,,,
TPY035乔峰,研发,员工,102204198307190312,,,,本科,2011年1月,4,6000,,,,,,,,
TPY036李春来,研发,项目经理,110108197001020119,,,,本科,1994年2月,21,11000,,,,,,,,
TPY037李秋水,研发,项目经理,110105199003040128,,,,本科,2012年1月,3,7500,,,,,,,,
TPY038刘竹庄,研发,项目经理,310108198412141139,,,,本科,2010年1月,5,6000,,,,,,,,
TPY039祁六三,研发,项目经理,372208198511190512,,,,硕士,2009年1月,6,9500,,,,,,,,
TPY040全冠清,研发,员工 ,110101199109021144,,,,大专,2014年1月,1,5000,,,,,,,,
TPY041阮星竹,研发,员工 ,110105197812120129,,,,本科,2014年8月,1,5500,,,,,,,,
TPY042许卓诚,研发,员工 ,410205198412278211,,,,大专,2012年1月,3,4500,,,,,,,,
TPY043朱丹臣,研发,员工 ,110102198305120123,,,,硕士,2009年1月,6,6000,,,,,,,,
TPY044慕容阿碧,研发,员工 ,551018198907291126,,,,本科,2011年4月,4,5900,,,,,,,,
TPY045段阿朱,研发,员工 ,372208198310070512,,,,大专,2011年5月,4,5000,,,,,,,,
TPY046阮阿紫,研发,员工 ,310205198808278231,,,,本科,2011年6月,4,6000,,,,,,,,
TPY047波罗星,研发,员工 ,110108198504240127,,,,本科,2011年7月,4,5700,,,,,,,,
TPY048陈孤雁,研发,员工 ,370108197808213159,,,,本科,2011年8月,4,7000,,,,,,,,
TPY049鸠摩智,销售,员工 ,110108198311020379,,,,大专,2011年9月,4,5000,,,,,,,,
TPY050孟来福,销售,员工 ,420316197909283216,,,,大专,2011年10月,3,5000,,,,,,,,
TPY051宋长江,销售,员工 ,327018199211123015,,,,中专,2011年11月,3,4500,,,,,,,,
TPY052苏星河,销售,销售副经理,110105196910120109,,,,本科,2011年12月,3,16000,,,,,,,,
TPY053苏辙,销售,员工 ,110107198711090028,,,,本科,2012年1月,3,6000,,,,,,,,
TPY054完颜康,销售,员工 ,210118197912031129,,,,大专,2012年2月,3,5000,,,,,,,,
TPY055耶律洪基,销售,员工 ,302204199108090312,,,,大专,2012年3月,3,5000,,,,,,,,
TPY056耶律莫哥,销售,员工 ,110105198809121104,,,,大专,2012年4月,3,5000,,,,,,,,
TPY057耶律鲁古,销售,员工 ,110107198310150109,,,,大专,2012年5月,3,5000,,,,,,,,
TPY058耶律重元,销售,员工 ,411205198812280211,,,,本科,2012年6月,3,6000,,,,,,,,
TPY059吴长风,销售,员工 ,110106198707120123,,,,本科,2012年7月,3,5000,,,,,,,,
TPY060吴光胜,管理,员工 ,351018198507210126,,,,硕士,2012年8月,3,8000,,,,,,,,
TPY061吴领军,管理,员工 ,372206198411270512,,,,硕士,2012年9月,3,8000,,,,,,,,
TPY062辛双清,管理,员工 ,210205197909078231,,,,本科,2012年10月,2,6000,,,,,,,,
TPY063严妈妈,管理,员工 ,110104198404140127,,,,本科,2012年11月,2,5000,,,,,,,,
TPY064余婆婆,行政,员工 ,270108198602203159,,,,大专,2012年12月,2,5000,,,,,,,,
TPY065岳老三,行政,员工 ,410008197910120379,,,,本科,2010年1月,5,6000,,,,,,,,
TPY066张全祥,行政,行政经理,420016198507183216,,,,本科,2010年2月,5,8500,,,,,,,,
TPY067单伯山,行政,员工 ,351018198310120013,,,,大专,2010年3月,5,4800,,,,,,,,
TPY068单季山,行政,员工 ,110106198412090027,,,,本科,2010年4月,5,6000,,,,,,,,
TPY069单叔山,行政,员工 ,120109198106031029,,,,本科,2010年5月,5,6000,,,,,,,,
TPY070单小山,外联,员工 ,102203198307190312,,,,本科,2010年6月,5,6000,,,,,,,,
TPY071单正,外联,员工 ,1031051993092840128,,,,本科,2015年7月,0,5500,,,,,,,,
TPY072段延庆,外联,员工 ,210108198712141139,,,,本科,2010年8月,5,5000,,,,,,,,
TPY073段誉,外联,员工 ,372208198211190512,,,,本科,2010年9月,5,6000,,,,,,,,
TPY074段正淳,外联,员工 ,110103197909021144,,,,本科,2003年10月,11,8000,,,,,,,,
TPY075段正明,外联,员工 ,110105199112120129,,,,本科,2014年11月,0,6000,,,,,,,,
TPY076范禹,外联,员工 ,410205198912278211,,,,本科,2013年12月,1,6000,,,,,,,,
TPY077范百龄,研发,员工 ,110108198305220123,,,,本科,2011年1月,4,6000,,,,,,,,
TPY078范骅,研发,员工 ,151018198706211126,,,,本科,2011年2月,4,6000,,,,,,,,
TPY079苟读,研发,员工 ,372208199010070512,,,,本科,2013年10月,1,6000,,,,,,,,
TPY080和里布,研发,员工 ,410205198908278231,,,,本科,2011年4月,4,6000,,,,,,,,
TPY081何望海,研发,员工 ,110103198504040127,,,,本科,2011年5月,4,6000,,,,,,,,
TPY082易大彪,研发,员工 ,370108197902213159,,,,本科,2001年6月,14,7000,,,,,,,,
TPY083郁光标,研发,员工 ,410308198111020379,,,,本科,2011年7月,4,6000,,,,,,,,
TPY084卓不凡,研发,员工 ,420316198409283216,,,,本科,2011年7月,4,5000,,,,,,,,
TPY085宗赞,研发,员工 ,327018197310123015,,,,本科,2007年7月,8,9000,,,,,,,,
TPY086哈大霸,研发,员工 ,110105197910020109,,,,本科,2011年7月,4,5800,,,,,,,,
TPY087姜枯荣,研发,员工 ,210107198711090028,,,,本科,2011年7月,4,6000,,,,,,,,
TPY088梦姑,研发,员工 ,220118198012031129,,,,本科,2011年7月,4,6000,,,,,,,,
TPY089姚伯当,研发,员工 ,304104199108090312,,,,本科,2014年7月,1,6000,,,,,,,,
TPY090神音,研发,员工 ,110105198809021104,,,,本科,2012年10月,2,6000,,,,,,,,
TPY091项幽草,研发,员工 ,110107198511150109,,,,本科,2012年11月,2,6000,,,,,,,,
TPY092赵钱孙,财务,财务经理,110101197212280211,,,,本科,2004年12月,10,18000,,,,,,,,
TPY093赵洵,财务,财务总监,110106196807120123,,,,本科,2003年1月,12,25000,,,,,,,,
TPY094哲罗星,财务,会计,351018198207210126,,,,本科,2008年1月,7,5700,,,,,,,,
TPY095钟灵,财务,会计,372206198511270512,,,,本科,2010年1月,5,6000,,,,,,,,
TPY096钟万仇,财务,出纳,210205198909078231,,,,本科,2010年11月,4,6000,,,,,,,,
TPY097高升泰,财务,出纳,110104199104140127,,,,本科,2015年1月,0,6000,,,,,,,,
TPY098龚光杰,财务,税务,270108198705283159,,,,本科,2011年4月,4,6000,,,,,,,,
TPY099康广陵,人事,员工 ,110108197809020379,,,,本科,2009年1月,6,6000,,,,,,,,
TPY100秦红棉,人事,员工 ,420016198507283216,,,,本科,2010年1月,5,6000,,,,,,,,
TPY101虚竹子,人事,员工 ,251018198710120013,,,,本科,2011年1月,4,6000,,,,,,,,
